Pacific Decadal Oscillation (PDO)
Date,Value
190102,0.65
190103,-0.33
190104,-0.45
190105,-0.99
190106,-0.84
190107,-1.33
190108,-0.73
190109,-0.07
190110,0.25
190111,-0.08
190112,0.56
190201,1.37
190202,0.53
190203,0.40
190204,0.64
190205,1.36
190206,2.33
190207,3.04
190208,1.81
190209,0.89
190210,1.11
190211,0.74
190212,0.44
190301,-0.04
190302,0.10
190303,-0.19
190304,-1.08
190305,-0.37
190306,0.04
190307,1.49
190308,1.35
190309,0.54
190310,0.72
190311,0.22
190312,0.60
190401,1.41
190402,0.54
190403,0.72
190404,0.07
190405,0.47
190406,-0.07
190407,0.05
190408,1.64
190409,2.24
190410,1.80
190411,1.93
190412,3.12
190501,2.75
190502,1.71
190503,1.04
190504,2.05
190505,1.31
190506,1.56
190507,2.31
190508,2.41
190509,2.10
190510,-0.41
190511,0.74
190512,-0.98
190601,1.36
190602,1.26
190603,0.50
190604,0.43
190605,1.45
190606,0.93
190607,1.35
190608,0.94
190609,0.11
190610,0.94
190611,0.89
190612,-0.43
190701,-0.68
190702,-0.36
190703,-1.88
190704,-1.58
190705,0.23
190706,0.96
190707,0.59
190708,-0.31
190709,0.78
190710,1.84
190711,1.77
190712,1.94
190801,1.72
190802,1.67
190803,0.51
190804,-0.08
190805,0.16
190806,0.21
190807,0.42
190808,-0.72
190809,0.71
190810,0.94
190811,1.88
190812,1.34
190901,0.69
190902,0.86
190903,0.93
190904,0.28
190905,-0.17
190906,-0.65
190907,-1.39
190908,-2.30
190909,-1.97
190910,-1.25
190911,-1.36
190912,-2.21
191001,-1.71
191002,-1.23
191003,-0.90
191004,-1.97
191005,-2.33
191006,-0.35
191007,-0.08
191008,-0.73
191009,0.73
191010,-0.96
191011,-0.59
191012,0.39
191101,-0.30
191102,-1.21
191103,-1.26
191104,-0.56
191105,-0.71
191106,-1.51
191107,-0.38
191108,0.08
191109,-0.26
191110,-0.12
191111,-0.38
191112,-0.97
191201,-0.21
191202,-0.02
191203,-0.44
191204,-0.51
191205,-0.04
191206,0.45
191207,0.26
191208,0.34
191209,1.23
191210,0.82
191211,0.05
191212,0.06
191301,-0.25
191302,0.11
191303,-0.23
191304,-0.85
191305,0.10
191306,0.32
191307,0.90
191308,1.12
191309,0.76
191310,0.40
191311,0.44
191312,0.11
191401,-0.28
191402,-0.30
191403,0.04
191404,0.82
191405,0.47
191406,-0.83
191407,-1.01
191408,-0.97
191409,-1.17
191410,-0.74
191411,-0.35
191412,-0.07
191501,-0.42
191502,-0.53
191503,0.35
191504,1.26
191505,1.54
191506,1.53
191507,1.24
191508,0.50
191509,-0.08
191510,-1.51
191511,-1.45
191512,-0.82
191601,-1.56
191602,-1.55
191603,-1.30
191604,-0.59
191605,-0.49
191606,-1.69
191607,-1.68
191608,-2.24
191609,-2.05
191610,-1.82
191611,-2.48
191612,-2.44
191701,-1.71
191702,-1.73
191703,-1.94
191704,-1.78
191705,-1.19
191706,-1.06
191707,-0.90
191708,-0.75
191709,-1.15
191710,-1.42
191711,-0.74
191712,-0.52
191801,0.42
191802,-0.13
191803,-0.94
191804,-0.85
191805,-1.07
191806,-0.57
191807,-0.00
191808,0.22
191809,0.41
191810,1.31
191811,1.33
191812,0.55
191901,0.47
191902,-0.05
191903,-0.64
191904,-0.63
191905,-1.05
191906,-1.53
191907,-1.87
191908,-0.92
191909,-0.31
191910,-0.60
191911,-0.77
191912,-0.39
192001,-1.08
192002,-0.77
192003,-0.90
192004,-1.33
192005,-1.24
192006,-1.28
192007,-1.59
192008,-2.26
192009,-2.19
192010,-1.79
192011,-0.80
192012,-0.69
192101,-1.09
192102,-1.55
192103,-0.85
192104,-1.63
192105,-1.50
192106,-1.05
192107,-1.58
192108,-2.01
192109,-1.50
192110,-1.58
192111,-0.81
192112,0.00
192201,0.07
192202,-1.26
192203,-1.63
192204,-1.81
192205,-1.89
192206,-1.27
192207,-0.74
192208,-0.56
192209,-0.49
192210,-0.27
192211,-0.74
192212,0.46
192301,0.24
192302,-0.75
192303,-1.01
192304,-0.51
192305,0.18
192306,-0.98
192307,0.60
192308,0.21
192309,-0.25
192310,0.26
192311,-0.26
192312,-0.22
192401,-0.70
192402,-0.67
192403,-0.47
192404,-1.23
192405,-0.53
192406,-0.39
192407,-1.01
192408,-1.41
192409,-1.73
192410,-2.13
192411,-1.40
192412,-0.27
192501,-0.93
192502,-0.62
192503,-0.65
192504,-1.14
192505,-0.51
192506,-1.03
192507,-0.69
192508,-0.72
192509,0.09
192510,0.26
192511,0.94
192512,0.72
192601,1.12
192602,1.26
192603,1.23
192604,1.81
192605,2.29
192606,1.63
192607,2.14
192608,1.70
192609,1.62
192610,1.79
192611,2.55
192612,2.11
192701,0.91
192702,1.33
192703,0.89
192704,-0.03
192705,-0.12
192706,0.56
192707,-0.28
192708,-0.76
192709,0.03
192710,-0.63
192711,-0.24
192712,-0.08
192801,0.45
192802,0.75
192803,0.88
192804,0.42
192805,0.48
192806,0.96
192807,-0.68
192808,-0.86
192809,-1.79
192810,-1.05
192811,0.09
192812,0.60
192901,0.83
192902,0.24
192903,0.04
192904,0.23
192905,0.48
192906,0.60
192907,0.03
192908,-0.12
192909,1.01
192910,1.02
192911,0.64
192912,1.55
193001,1.29
193002,0.77
193003,0.30
193004,0.19
193005,0.10
193006,0.02
193007,-0.00
193008,-0.20
193009,0.33
193010,0.01
193011,-0.02
193012,0.84
193101,1.25
193102,1.18
193103,1.14
193104,1.61
193105,2.00
193106,1.76
193107,2.08
193108,0.74
193109,0.85
193110,0.09
193111,-0.21
193112,-0.84
193201,-1.22
193202,-1.63
193203,-0.65
193204,0.49
193205,-0.03
193206,-0.15
193207,-0.23
193208,-0.29
193209,-1.14
193210,-0.02
193211,-0.32
193212,0.16
193301,-0.70
193302,-1.08
193303,-1.05
193304,-0.84
193305,-1.83
193306,-2.36
193307,-3.32
193308,-2.92
193309,-2.97
193310,-1.83
193311,-0.49
193312,-0.66
193401,-0.41
193402,0.10
193403,0.88
193404,1.26
193405,0.79
193406,-0.27
193407,0.18
193408,1.23
193409,1.13
193410,1.91
193411,1.64
193412,1.51
193501,0.72
193502,0.11
193503,-0.26
193504,0.10
193505,0.73
193506,1.23
193507,0.62
193508,0.35
193509,0.42
193510,0.40
193511,0.23
193512,1.53
193601,2.17
193602,1.60
193603,1.19
193604,1.19
193605,1.64
193606,2.24
193607,2.79
193608,1.95
193609,0.98
193610,2.15
193611,2.83
193612,1.52
193701,0.06
193702,-0.45
193703,-0.28
193704,-0.69
193705,-0.39
193706,1.16
193707,-0.32
193708,-0.98
193709,0.01
193710,0.52
193711,0.97
193712,1.06
193801,1.53
193802,0.28
193803,-0.45
193804,-0.22
193805,-0.59
193806,-0.62
193807,-0.63
193808,-0.57
193809,-0.26
193810,0.78
193811,0.04
193812,1.14
193901,1.17
193902,-0.10
193903,-0.63
193904,0.03
193905,0.12
193906,-0.07
193907,-1.10
193908,-1.31
193909,-1.54
193910,-1.49
193911,-0.90
193912,1.44
194001,1.82
194002,1.55
194003,1.87
194004,2.06
194005,1.76
194006,2.07
194007,1.82
194008,1.31
194009,1.09
194010,1.28
194011,1.55
194012,2.68
194101,2.67
194102,2.86
194103,2.43
194104,2.31
194105,2.07
194106,2.83
194107,3.01
194108,3.22
194109,2.04
194110,1.14
194111,1.51
194112,2.21
194201,2.48
194202,1.96
194203,1.11
194204,0.97
194205,0.53
194206,0.77
194207,0.58
194208,0.60
194209,0.37
194210,0.23
194211,-0.13
194212,-0.93
194301,-1.62
194302,-0.70
194303,0.32
194304,1.28
194305,0.58
194306,-0.14
194307,-0.22
194308,-1.88
194309,-1.61
194310,-1.48
194311,-0.18
194312,1.98
194401,1.58
194402,0.25
194403,-0.53
194404,-0.87
194405,-1.76
194406,-2.10
194407,-1.49
194408,-1.00
194409,-1.94
194410,-1.50
194411,-0.81
194412,-0.48
194501,-0.09
194502,-0.34
194503,-0.06
194504,-0.37
194505,-0.38
194506,0.16
194507,0.31
194508,-0.61
194509,-0.57
194510,-0.42
194511,-1.34
194512,-1.99
194601,-1.10
194602,0.67
194603,0.73
194604,0.67
194605,-0.45
194606,-0.63
194607,-0.07
194608,-0.17
194609,-0.15
194610,-1.23
194611,-1.82
194612,-1.66
194701,-0.15
194702,0.22
194703,0.31
194704,0.10
194705,-0.36
194706,0.67
194707,0.78
194708,0.61
194709,0.40
194710,1.39
194711,0.61
194712,0.43
194801,0.27
194802,-0.32
194803,-1.11
194804,-1.13
194805,-1.78
194806,0.01
194807,-0.10
194808,-1.07
194809,-1.07
194810,-1.74
194811,-0.92
194812,-1.85
194901,-2.82
194902,-3.17
194903,-1.82
194904,-1.54
194905,-1.37
194906,-1.21
194907,-1.48
194908,-1.61
194909,-1.60
194910,-2.29
194911,-1.08
194912,-0.93
195001,-1.61
195002,-2.17
195003,-1.89
195004,-1.99
195005,-3.19
195006,-2.52
195007,-3.65
195008,-2.98
195009,-2.40
195010,-1.92
195011,-1.45
195012,-1.06
195101,-1.19
195102,-1.52
195103,-1.72
195104,-1.35
195105,-1.29
195106,-1.77
195107,-0.23
195108,-1.76
195109,-0.78
195110,-0.09
195111,-0.31
195112,-1.45
195201,-2.19
195202,-1.35
195203,-1.67
195204,-1.92
195205,-2.07
195206,-2.13
195207,-2.05
195208,-1.58
195209,-1.36
195210,-0.91
195211,-0.53
195212,-0.83
195301,-0.16
195302,-0.46
195303,-1.27
195304,-0.90
195305,-0.55
195306,-0.20
195307,0.06
195308,-0.92
195309,-1.11
195310,-1.48
195311,-0.51
195312,-0.18
195401,-1.13
195402,-0.95
195403,-1.15
195404,-1.25
195405,-0.76
195406,0.49
195407,-0.08
195408,-0.32
195409,-1.05
195410,0.02
195411,0.85
195412,0.49
195501,-0.23
195502,-1.01
195503,-1.24
195504,-2.21
195505,-1.89
195506,-2.18
195507,-2.75
195508,-2.66
195509,-2.48
195510,-3.35
195511,-2.63
195512,-2.20
195601,-2.26
195602,-2.28
195603,-2.93
195604,-2.55
195605,-1.62
195606,-1.98
195607,-1.48
195608,-1.00
195609,-0.28
195610,-1.66
195611,-2.44
195612,-1.27
195701,-1.31
195702,-1.57
195703,-0.83
195704,-0.81
195705,-0.02
195706,1.53
195707,0.59
195708,0.34
195709,1.84
195710,1.72
195711,1.54
195712,0.46
195801,0.83
195802,0.94
195803,0.62
195804,0.56
195805,1.46
195806,1.82
195807,0.61
195808,1.06
195809,0.77
195810,0.28
195811,0.28
195812,1.14
195901,1.04
195902,0.35
195903,-0.14
195904,-0.16
195905,-0.13
195906,0.23
195907,-0.42
195908,-0.31
195909,-0.53
195910,0.96
195911,1.38
195912,1.02
196001,0.24
196002,0.61
196003,0.23
196004,0.21
196005,0.35
196006,1.20
196007,-0.42
196008,-0.31
196009,-0.96
196010,-0.34
196011,-0.34
196012,0.00
196101,0.89
196102,0.92
196103,0.64
196104,0.28
196105,-0.54
196106,-0.70
196107,-1.23
196108,-0.87
196109,-1.34
196110,-1.78
196111,-1.43
196112,-1.73
196201,-1.00
196202,-0.87
196203,-1.06
196204,-0.95
196205,-1.30
196206,-1.71
196207,-1.83
196208,-0.66
196209,-1.47
196210,-1.76
196211,-0.38
196212,-0.23
196301,0.12
196302,0.15
196303,-0.28
196304,-0.27
196305,-1.26
196306,-0.60
196307,-1.11
196308,-1.01
196309,1.08
196310,0.34
196311,-0.50
196312,0.45
196401,0.34
196402,0.21
196403,-0.71
196404,-1.27
196405,-2.39
196406,-0.86
196407,-1.08
196408,-1.60
196409,-1.35
196410,-0.64
196411,-0.68
196412,-0.62
196501,-0.95
196502,-0.61
196503,-0.17
196504,-0.01
196505,-0.66
196506,-0.76
196507,-0.74
196508,0.32
196509,0.83
196510,0.30
196511,0.47
196512,0.25
196601,-0.67
196602,-0.43
196603,-1.00
196604,-0.37
196605,-0.76
196606,0.10
196607,0.01
196608,-0.29
196609,-0.35
196610,-0.60
196611,-0.71
196612,-0.21
196701,-0.24
196702,-0.25
196703,-0.80
196704,-1.13
196705,-1.54
196706,-1.20
196707,-1.21
196708,-1.55
196709,-0.60
196710,-0.06
196711,0.36
196712,-0.68
196801,-0.65
196802,-0.19
196803,0.08
196804,-0.69
196805,-0.79
196806,0.14
196807,0.44
196808,-0.01
196809,0.26
196810,-0.18
196811,0.03
196812,-0.29
196901,-0.71
196902,-1.22
196903,-1.21
196904,-1.07
196905,-1.06
196906,0.84
196907,-0.37
196908,-0.92
196909,-1.07
196910,0.95
196911,0.58
196912,1.13
197001,1.06
197002,1.01
197003,1.20
197004,0.31
197005,-0.89
197006,-0.12
197007,-0.92
197008,-1.79
197009,-1.68
197010,-1.20
197011,-0.92
197012,-0.91
197101,-1.34
197102,-1.45
197103,-1.55
197104,-1.70
197105,-1.75
197106,-1.86
197107,-2.25
197108,-0.32
197109,-0.17
197110,-0.35
197111,-1.28
197112,-1.77
197201,-2.12
197202,-1.95
197203,-1.53
197204,-1.70
197205,-2.16
197206,-1.84
197207,-1.48
197208,-0.11
197209,-0.20
197210,-0.22
197211,-0.05
197212,-0.37
197301,-0.15
197302,-0.55
197303,-0.88
197304,-1.35
197305,-1.59
197306,-1.44
197307,-1.40
197308,-1.56
197309,-1.05
197310,-1.36
197311,-1.42
197312,-0.89
197401,-0.86
197402,-1.38
197403,-1.21
197404,-0.62
197405,-0.72
197406,-0.37
197407,0.02
197408,-0.27
197409,0.71
197410,0.19
197411,0.61
197412,0.27
197501,-0.65
197502,-0.93
197503,-1.07
197504,-1.79
197505,-2.08
197506,-1.61
197507,-0.84
197508,-1.56
197509,-1.60
197510,-1.59
197511,-1.73
197512,-1.49
197601,-1.08
197602,-1.01
197603,-1.31
197604,-1.38
197605,-1.23
197606,-1.26
197607,0.28
197608,0.97
197609,0.58
197610,1.12
197611,1.33
197612,1.20
197701,1.24
197702,1.51
197703,0.62
197704,-0.25
197705,-0.47
197706,0.03
197707,-0.06
197708,-0.09
197709,-0.64
197710,-0.84
197711,-0.45
197712,-0.06
197801,0.58
197802,0.78
197803,1.13
197804,1.03
197805,0.77
197806,0.33
197807,-1.62
197808,-0.91
197809,-0.78
197810,0.07
197811,-0.01
197812,-0.51
197901,-0.38
197902,-1.29
197903,-0.68
197904,-0.12
197905,0.57
197906,0.22
197907,0.30
197908,0.05
197909,0.88
197910,1.10
197911,0.58
197912,0.06
198001,0.06
198002,0.58
198003,0.62
198004,0.78
198005,0.64
198006,-0.72
198007,-0.21
198008,0.08
198009,-0.13
198010,0.99
198011,0.71
198012,0.30
198101,1.18
198102,1.24
198103,1.22
198104,1.07
198105,1.29
198106,1.82
198107,0.82
198108,-0.05
198109,0.43
198110,-0.09
198111,0.54
198112,0.59
198201,0.11
198202,-0.19
198203,-0.37
198204,-0.70
198205,-1.21
198206,-0.99
198207,0.12
198208,-0.08
198209,0.51
198210,0.15
198211,-0.60
198212,0.16
198301,0.40
198302,0.97
198303,1.73
198304,1.26
198305,1.01
198306,1.90
198307,2.47
198308,1.18
198309,0.47
198310,0.68
198311,1.19
198312,1.72
198401,1.42
198402,1.23
198403,1.56
198404,1.00
198405,0.87
198406,-0.13
198407,-0.35
198408,0.01
198409,0.18
198410,0.43
198411,0.54
198412,0.48
198501,0.87
198502,0.48
198503,-0.34
198504,-0.52
198505,-0.87
198506,0.04
198507,0.52
198508,0.19
198509,0.13
198510,0.14
198511,-0.65
198512,0.33
198601,1.04
198602,1.47
198603,1.68
198604,1.21
198605,0.85
198606,0.62
198607,1.05
198608,-0.19
198609,-0.03
198610,1.00
198611,1.68
198612,1.71
198701,1.47
198702,1.46
198703,1.35
198704,1.38
198705,0.82
198706,0.05
198707,1.38
198708,1.74
198709,1.44
198710,0.68
198711,0.93
198712,0.94
198801,0.23
198802,0.47
198803,0.49
198804,0.34
198805,0.37
198806,0.21
198807,-0.15
198808,-0.88
198809,-0.98
198810,-0.36
198811,-0.06
198812,-0.14
198901,-1.24
198902,-1.45
198903,-1.24
198904,-0.32
198905,-0.09
198906,0.11
198907,0.56
198908,-0.44
198909,-0.57
198910,-0.51
198911,-0.76
198912,-0.10
199001,-0.42
199002,-1.28
199003,-1.24
199004,-0.15
199005,-0.32
199006,-0.25
199007,-0.31
199008,-0.43
199009,-0.26
199010,-1.16
199011,-1.88
199012,-2.22
199101,-1.80
199102,-1.09
199103,-1.11
199104,-1.63
199105,-1.65
199106,-2.25
199107,-1.57
199108,-0.58
199109,0.37
199110,0.41
199111,0.56
199112,-0.21
199201,0.08
199202,0.17
199203,0.12
199204,0.55
199205,1.26
199206,1.22
199207,1.50
199208,0.85
199209,0.45
199210,1.28
199211,1.31
199212,0.33
199301,-0.28
199302,0.02
199303,0.24
199304,1.00
199305,1.79
199306,2.05
199307,1.48
199308,1.96
199309,1.15
199310,1.31
199311,1.13
199312,0.67
199401,0.85
199402,0.33
199403,0.27
199404,0.49
199405,0.55
199406,0.10
199407,-0.91
199408,-0.88
199409,-1.51
199410,-1.06
199411,-1.93
199412,-2.22
199501,-0.86
199502,0.02
199503,0.46
199504,0.49
199505,0.89
199506,1.03
199507,1.00
199508,-0.11
199509,1.22
199510,0.64
199511,0.05
199512,0.44
199601,1.01
199602,1.01
199603,0.85
199604,1.37
199605,2.13
199606,1.10
199607,0.57
199608,-0.66
199609,0.07
199610,0.40
199611,0.38
199612,-0.03
199701,0.44
199702,0.29
199703,0.39
199704,0.73
199705,1.59
199706,2.55
199707,1.49
199708,2.27
199709,1.80
199710,1.78
199711,1.48
199712,0.99
199801,1.05
199802,1.52
199803,1.29
199804,0.03
199805,-0.83
199806,-0.78
199807,-1.16
199808,-0.87
199809,-1.70
199810,-2.23
199811,-0.97
199812,-1.09
199901,-0.78
199902,-1.06
199903,-1.18
199904,-1.85
199905,-2.32
199906,-2.34
199907,-1.87
199908,-1.84
199909,-2.24
199910,-2.54
199911,-2.18
199912,-1.92
200001,-2.20
200002,-1.28
200003,-0.66
200004,-0.63
200005,-0.81
200006,-0.64
200007,-1.51
200008,-1.68
200009,-1.45
200010,-1.61
200011,-1.04
200012,0.00
200101,0.48
200102,-0.01
200103,-0.41
200104,-1.18
200105,-1.12
200106,-1.22
200107,-2.21
200108,-1.68
200109,-1.98
200110,-1.91
200111,-1.25
200112,-1.12
200201,-0.42
200202,-1.51
200203,-1.27
200204,-1.23
200205,-1.30
200206,-1.18
200207,-0.71
200208,0.11
200209,-0.21
200210,-0.20
200211,1.08
200212,1.57
200301,1.45
200302,1.23
200303,1.01
200304,0.36
200305,0.21
200306,-0.42
200307,0.37
200308,0.63
200309,-0.17
200310,0.74
200311,-0.23
200312,-0.60
200401,-0.55
200402,-0.21
200403,-0.15
200404,-0.00
200405,0.61
200406,-0.11
200407,0.04
200408,0.24
200409,0.02
200410,-0.72
200411,-1.22
200412,-0.64
200501,-0.15
200502,-0.01
200503,0.70
200504,0.28
200505,1.36
200506,0.85
200507,0.11
200508,-0.42
200509,-0.99
200510,-2.00
200511,-1.89
200512,-0.10
200601,0.54
200602,0.38
200603,-0.74
200604,-0.54
200605,-0.37
200606,0.21
200607,0.39
200608,-0.85
200609,-1.54
200610,-0.46
