Station_Name,Station Id,State Code,Network Code,Network Name,Elevation,Latitude,Longitude
Beaver_Reservoir,331,OR,SNTL,SNOTEL,5150,45.14532,-118.219
Beaver_Spring,1143,AZ,SNTL,SNOTEL,9200,36.32678,-109.05711
Ben_Lomond_Peak,332,UT,SNTL,SNOTEL,8000,41.376,-111.94407
Ben_Lomond_Trail,333,UT,SNTL,SNOTEL,5829,41.38283,-111.92105
Berry_Creek,334,NV,SNTL,SNOTEL,9100,39.31917,-114.62278
Berthoud_Summit,335,CO,SNTL,SNOTEL,11300,39.80392,-105.77789
Bettles_Field,1182,AK,SNTL,SNOTEL,640,66.91667,-151.53333
Bevans_Cabin,1214,UT,SNTL,SNOTEL,6430,40.46233,-112.2529
Big_Bend,336,NV,SNTL,SNOTEL,6700,41.76168,-115.6931
Big_Creek_Sum,337,NV,SNTL,SNOTEL,8695,39.29158,-117.11415
Big_Creek_Summit,338,ID,SNTL,SNOTEL,6580,44.62642,-115.7937
Big_Flat,339,UT,SNTL,SNOTEL,10349,38.30183,-112.35672
Big_Goose,931,WY,SNTL,SNOTEL,7990,44.57924,-107.20068
Big_Meadow,340,NV,SNTL,SNOTEL,8249,39.45503,-119.94222
Big_Red_Mountain,341,OR,SNTL,SNOTEL,6050,42.05257,-122.85487
Big_Sandy_Opening,342,WY,SNTL,SNOTEL,9080,42.64682,-109.25965
Bigelow_Camp,343,OR,SNTL,SNOTEL,5130,42.07875,-123.34393
Billie_Creek_Divide,344,OR,SNTL,SNOTEL,5280,42.40717,-122.26617
Bird_Creek,1155,NV,SNTL,SNOTEL,7500,39.46138,-114.64863
Bison_Lake,345,CO,SNTL,SNOTEL,10880,39.76487,-107.35681
Bisson_Creek,346,MT,SNTL,SNOTEL,4920,47.68389,-113.99901
Black_Bear,347,MT,SNTL,SNOTEL,8170,44.50832,-111.12803
Black_Flat-U.M._Ck,348,UT,SNTL,SNOTEL,9462,38.67983,-111.59772
Black_Mesa,1185,CO,SNTL,SNOTEL,11580,37.78972,-108.18365
Black_Mountain,1161,CO,SNTL,SNOTEL,8920,40.888,-105.66397
Black_Pine,349,MT,SNTL,SNOTEL,7210,46.414,-113.43095
Blackhall_Mtn,1119,WY,SNTL,SNOTEL,9820,41.05616,-106.71384
Blacks_Fork_Jct,1162,UT,SNTL,SNOTEL,8870,40.9581,-110.5828
Blacktail_Mtn,1144,MT,SNTL,SNOTEL,5650,47.98288,-114.3543
Blackwater,350,WY,SNTL,SNOTEL,9780,44.37667,-109.79333
Blazed_Alder,351,OR,SNTL,SNOTEL,3650,45.4287,-121.85605
Blewett_Pass,352,WA,SNTL,SNOTEL,4240,47.35037,-120.6796
Blind_Bull_Sum,353,WY,SNTL,SNOTEL,8650,42.964,-110.60973
Blind_Park,354,SD,SNTL,SNOTEL,6890,44.10772,-103.97688
Bloody_Dick,355,MT,SNTL,SNOTEL,7600,45.16507,-113.50099
Blue_Lakes,356,CA,SNTL,SNOTEL,8057,38.6078,-119.92443
Blue_Mountain_Spring,357,OR,SNTL,SNOTEL,5870,44.24767,-118.51722
Bogus_Basin,978,ID,SNTL,SNOTEL,6340,43.76377,-116.09685
Bone_Springs_Div,358,WY,SNTL,SNOTEL,9350,44.67888,-107.5811
Bostetter_R.S.,359,ID,SNTL,SNOTEL,7500,42.16389,-114.1925
Boulder_Mountain,360,MT,SNTL,SNOTEL,7950,46.5596,-111.28973
Bourne,361,OR,SNTL,SNOTEL,5850,44.83052,-118.18787
Bowman_Springs,362,OR,SNTL,SNOTEL,4530,45.36428,-118.46715
Box_Canyon,363,MT,SNTL,SNOTEL,6670,45.2719,-110.24903
Box_Creek,364,UT,SNTL,SNOTEL,9828,38.508,-112.0186
Brackett_Creek,365,MT,SNTL,SNOTEL,7320,45.89107,-110.93851
Brian_Head,1154,UT,SNTL,SNOTEL,9972,37.68025,-112.85653
Brighton,366,UT,SNTL,SNOTEL,8750,40.59917,-111.58268
Bristlecone_Trail,1111,NV,SNTL,SNOTEL,8979,36.31575,-115.69543
Brooklyn_Lake,367,WY,SNTL,SNOTEL,10240,41.35885,-106.23209
Brown_Duck,368,UT,SNTL,SNOTEL,10600,40.581,-110.58583
Brown_Top,1080,WA,SNTL,SNOTEL,5830,48.92755,-121.19713
Brumley,369,CO,SNTL,SNOTEL,10600,39.08766,-106.5417
Brundage_Reservoir,370,ID,SNTL,SNOTEL,6250,45.04315,-116.13253
Buck_Flat,371,UT,SNTL,SNOTEL,9430,39.134,-111.43727
Buck_Pasture,1192,UT,SNTL,SNOTEL,9700,40.8446,-110.66075
Buckboard_Flat,1153,UT,SNTL,SNOTEL,8998,37.86943,-109.44717
Buckinghorse,1107,WA,SNTL,SNOTEL,4870,47.7086,-123.45747
Buckskin_Joe,938,CO,SNTL,SNOTEL,11150,39.3035,-106.11307
Buckskin_Lower,373,NV,SNTL,SNOTEL,6915,41.75067,-117.53182
Buffalo_Park,913,CO,SNTL,SNOTEL,9240,40.22861,-106.59528
Bug_Lake,374,UT,SNTL,SNOTEL,7950,41.68467,-111.41915
Bumping_Ridge,375,WA,SNTL,SNOTEL,4610,46.81003,-121.33058
Bunchgrass_Mdw,376,WA,SNTL,SNOTEL,5000,48.68688,-117.17633
Burgess_Junction,377,WY,SNTL,SNOTEL,7880,44.78765,-107.52917
Burnside_Lake,1051,CA,SNTL,SNOTEL,8129,38.71943,-119.8942
Burnt_Mountain,942,WA,SNTL,SNOTEL,4170,47.0444,-121.94032
Burnt_Mtn,981,MT,SNTL,SNOTEL,5880,45.2401,-109.45961
Burro_Mountain,378,CO,SNTL,SNOTEL,9400,39.87505,-107.59853
Burroughs_Creek,379,WY,SNTL,SNOTEL,8750,43.69733,-109.67021
Burts_Miller_Ranch,1135,UT,SNTL,SNOTEL,8000,40.98492,-110.85075
Butte,380,CO,SNTL,SNOTEL,10160,38.89433,-106.953
Calamity,1109,WA,SNTL,SNOTEL,2500,45.90362,-122.21633
Calvert_Creek,381,MT,SNTL,SNOTEL,6430,45.8838,-113.32553
Camas_Creek_Divide,382,ID,SNTL,SNOTEL,5710,43.26548,-115.3453
Camp_Jackson,383,UT,SNTL,SNOTEL,8968,37.81333,-109.48723
Canyon,384,WY,SNTL,SNOTEL,7870,44.71961,-110.51084
Canyon_Lake,1232,AK,SNTL,SNOTEL,550,59.42425,-161.16354
Carrot_Basin,385,MT,SNTL,SNOTEL,9000,44.96192,-111.29403
Carson_Pass,1067,CA,SNTL,SNOTEL,8353,38.69308,-119.99335
Cascade,386,CO,SNTL,SNOTEL,8880,37.65083,-107.80602
Cascade_2,387,CO,SNTL,SNOTEL,8920,37.658,-107.80268
Cascade_Mountain,1039,UT,SNTL,SNOTEL,7774,40.283,-111.60992
Cascade_Summit,388,OR,SNTL,SNOTEL,5100,43.59042,-122.0601
Casper_Mtn.,389,WY,SNTL,SNOTEL,7900,42.73389,-106.31861
Castle_Creek,1130,WY,SNTL,SNOTEL,8400,43.6748,-109.3774
Castle_Valley,390,UT,SNTL,SNOTEL,9580,37.66083,-112.74095
Cave_Mountain,1152,NV,SNTL,SNOTEL,10583,39.16337,-114.6133
Cayuse_Pass,1085,WA,SNTL,SNOTEL,5240,46.86954,-121.5343
Cedar_Pass,391,CA,SNTL,SNOTEL,7030,41.58233,-120.3025
Chalender,1139,AZ,SNTL,SNOTEL,7100,35.26247,-112.06231
Chalk_Creek_1,392,UT,SNTL,SNOTEL,8993,40.8545,-111.04777
Chalk_Creek_2,393,UT,SNTL,SNOTEL,8158,40.88533,-111.06932
Chamita,394,NM,SNTL,SNOTEL,8400,36.95636,-106.65682
Chapman_Tunnel,1101,CO,SNTL,SNOTEL,10110,39.26217,-106.62931
Chemult_Alternate,395,OR,SNTL,SNOTEL,4850,43.22625,-121.80662
Chepeta,396,UT,SNTL,SNOTEL,10592,40.7745,-110.0105
Chisana,1093,AK,SNTL,SNOTEL,3320,62.069,-142.049
Chocolate_Gulch,895,ID,SNTL,SNOTEL,6440,43.7685,-114.41812
Cinnabar_Park,1046,WY,SNTL,SNOTEL,9574,41.23837,-106.23095
Clackamas_Lake,398,OR,SNTL,SNOTEL,3400,45.09658,-121.75443
Clayton_Springs,983,UT,SNTL,SNOTEL,10049,37.9725,-111.83355
Clear_Creek_1,399,UT,SNTL,SNOTEL,8908,39.86667,-111.28357
Clear_Creek_2,400,UT,SNTL,SNOTEL,7659,39.89267,-111.25175
Clear_Lake,401,OR,SNTL,SNOTEL,3810,45.18832,-121.6916
Cloud_Peak_Reservoir,402,WY,SNTL,SNOTEL,9860,44.40343,-107.06057
Clover_Meadow,403,MT,SNTL,SNOTEL,8600,45.01788,-111.8456
Cochetopa_Pass,1059,CO,SNTL,SNOTEL,10020,38.16283,-106.59883
Cold_Springs,405,WY,SNTL,SNOTEL,9630,43.27676,-109.44585
Cold_Springs_Camp,406,OR,SNTL,SNOTEL,5940,42.53305,-122.17683
Coldfoot,958,AK,SNTL,SNOTEL,1040,67.25333,-150.183
Cole_Canyon,982,WY,SNTL,SNOTEL,5910,44.48632,-104.41057
Cole_Creek,407,MT,SNTL,SNOTEL,7850,45.19405,-109.34548
Columbia_Basin______,1204,NV,SNTL,SNOTEL,6650,41.6716,-116.0703
Columbine,408,CO,SNTL,SNOTEL,9160,40.3948,-106.60408
Columbine_Pass,409,CO,SNTL,SNOTEL,9400,38.41795,-108.38249
Columbus_Basin,904,CO,SNTL,SNOTEL,10785,37.44147,-108.02445
Combination,410,MT,SNTL,SNOTEL,5600,46.46523,-113.39358
Cool_Creek,411,ID,SNTL,SNOTEL,6280,46.76361,-115.29528
Cooper_Lake,959,AK,SNTL,SNOTEL,1200,60.39027,-149.6936
Copeland_Lake,412,CO,SNTL,SNOTEL,8600,40.20778,-105.56861
Copper_Bottom,413,MT,SNTL,SNOTEL,5200,47.05678,-112.595
Copper_Camp,414,MT,SNTL,SNOTEL,6950,47.08158,-112.72955
Copper_Mountain,415,CO,SNTL,SNOTEL,10550,39.48954,-106.17095
Corduroy_Flat_______,1209,NV,SNTL,SNOTEL,8720,38.9965,-115.4245
Coronado_Trail,416,AZ,SNTL,SNOTEL,8400,33.80392,-109.15282
Corral,1236,UT,SNTL,SNOTEL,8159,39.65692,-110.37985
Corral_Canyon,417,NV,SNTL,SNOTEL,8500,40.27783,-115.53467
Corral_Pass,418,WA,SNTL,SNOTEL,5800,47.01872,-121.46464
Cottonwood_Creek,419,WY,SNTL,SNOTEL,7670,42.6459,-110.81482
Cougar_Mountain,420,WA,SNTL,SNOTEL,3200,47.27666,-121.67138
County_Line,422,OR,SNTL,SNOTEL,4830,45.19107,-118.55015
Cozy_Cove,423,ID,SNTL,SNOTEL,5380,44.28783,-115.65527
Crab_Creek,424,ID,SNTL,SNOTEL,6860,44.43672,-111.99348
Crater_Meadows,425,ID,SNTL,SNOTEL,5960,46.56306,-115.28833
Crazyman_Flat,1010,OR,SNTL,SNOTEL,6180,42.6381,-120.94917
Crosho,426,CO,SNTL,SNOTEL,9100,40.16745,-107.0575
Crow_Creek,1045,WY,SNTL,SNOTEL,8330,41.2287,-105.38278
Crowder_Flat,977,CA,SNTL,SNOTEL,5170,41.89318,-120.75202
Crystal_Lake,427,MT,SNTL,SNOTEL,6050,46.78942,-109.51205
Css_Lab,428,CA,SNTL,SNOTEL,6855,39.32565,-120.36807
Culebra_2,430,CO,SNTL,SNOTEL,10500,37.20945,-105.19959
Cumbres_Trestle,431,CO,SNTL,SNOTEL,10040,37.01878,-106.45179
Currant_Creek,432,UT,SNTL,SNOTEL,8000,40.3575,-111.08993
Daisy_Peak,919,MT,SNTL,SNOTEL,7600,46.66858,-110.33022
Daly_Creek,433,MT,SNTL,SNOTEL,5780,46.18367,-113.8533
Daly_Lake,434,OR,SNTL,SNOTEL,3690,44.52147,-122.08718
Daniels-Strawberry,435,UT,SNTL,SNOTEL,8037,40.29517,-111.25678
Darkhorse_Lake,436,MT,SNTL,SNOTEL,8600,45.17367,-113.5846
Deadman_Creek,437,MT,SNTL,SNOTEL,6450,46.79279,-110.67545
Deadman_Hill,438,CO,SNTL,SNOTEL,10220,40.80571,-105.76993
Deadwood_Summit,439,ID,SNTL,SNOTEL,6860,44.54483,-115.563
Deer_Park,923,WY,SNTL,SNOTEL,9700,42.59076,-108.90273
Defiance_Mines______,1210,NV,SNTL,SNOTEL,9200,39.0852,-114.8997
Derr.,440,OR,SNTL,SNOTEL,5850,44.4465,-119.93012
Diamond_Lake,442,OR,SNTL,SNOTEL,5280,43.18787,-122.14003
Diamond_Peak,443,NV,SNTL,SNOTEL,8033,39.5637,-115.84332
Dill's_Camp,444,UT,SNTL,SNOTEL,9182,39.0455,-111.46863
Disaster_Peak,445,NV,SNTL,SNOTEL,6500,41.96735,-118.18942
Dismal_Swamp,446,CA,SNTL,SNOTEL,7360,41.99127,-120.18033
Divide,448,MT,SNTL,SNOTEL,7800,44.79317,-112.05645
Divide_Peak,449,WY,SNTL,SNOTEL,8880,41.30398,-107.15241
Dollarhide_Summit,450,ID,SNTL,SNOTEL,8420,43.6025,-114.67417
Dome_Lake,451,WY,SNTL,SNOTEL,8880,44.57462,-107.29537
Donkey_Reservoir,452,UT,SNTL,SNOTEL,9800,38.20933,-111.4825
Dorsey_Basin,453,NV,SNTL,SNOTEL,8100,40.89333,-115.20483
Draw_Creek,454,NV,SNTL,SNOTEL,7200,41.66198,-115.32397
Dry_Bread_Pond,455,UT,SNTL,SNOTEL,8350,41.413,-111.53783
Dry_Creek,1243,NV,SNTL,SNOTEL,6500,40.86208,-115.22078
Dry_Fork,906,UT,SNTL,SNOTEL,7093,40.56533,-112.17343
Dry_Lake,457,CO,SNTL,SNOTEL,8400,40.53397,-106.7813
Dungeness,943,WA,SNTL,SNOTEL,4010,47.87224,-123.0788
Dupuyer_Creek,458,MT,SNTL,SNOTEL,5750,48.06341,-112.7573
Eagle_Summit,960,AK,SNTL,SNOTEL,3650,65.48588,-145.41212
East_Boulder_Mine,1105,MT,SNTL,SNOTEL,6335,45.50381,-110.08019
East_Rim_Divide,460,WY,SNTL,SNOTEL,7930,43.13097,-110.2023
East_Willow_Creek,461,UT,SNTL,SNOTEL,8301,39.312,-109.5318
Easy_Pass,998,WA,SNTL,SNOTEL,5270,48.85933,-121.43895
Ebbetts_Pass,462,CA,SNTL,SNOTEL,8765,38.54955,-119.80465
Echo_Lake,936,CO,SNTL,SNOTEL,10600,39.65627,-105.59345
Echo_Peak,463,CA,SNTL,SNOTEL,7670,38.84903,-120.0785
EF_Blacks_Fork_GS,1163,UT,SNTL,SNOTEL,9360,40.8847,-110.5406
Eilertson_Meadows,464,OR,SNTL,SNOTEL,5510,44.86887,-118.11387
El_Diente_Peak,465,CO,SNTL,SNOTEL,10000,37.78617,-108.02155
Elbow_Lake,910,WA,SNTL,SNOTEL,3040,48.69092,-121.90893
Elk_Butte,466,ID,SNTL,SNOTEL,5690,46.83998,-116.12233
Elk_Cabin,921,NM,SNTL,SNOTEL,8210,35.7043,-105.80675
Elk_Peak,1106,MT,SNTL,SNOTEL,7600,46.4845,-110.7125
Elk_River,467,CO,SNTL,SNOTEL,8700,40.84781,-106.96871
Elkhart_Park_G.S.,468,WY,SNTL,SNOTEL,9400,43.00657,-109.75893
Elliot_Ridge,1120,CO,SNTL,SNOTEL,10520,39.864,-106.4246
Emery_Creek,469,MT,SNTL,SNOTEL,4350,48.43412,-113.93725
Emigrant_Springs,470,OR,SNTL,SNOTEL,3800,45.55808,-118.45383
Emigrant_Summit,471,ID,SNTL,SNOTEL,7390,42.36055,-111.56085
Esther_Island,1071,AK,SNTL,SNOTEL,50,60.798,-148.0857
Evening_Star,472,WY,SNTL,SNOTEL,9200,44.65258,-109.78422
Exit_Glacier,1092,AK,SNTL,SNOTEL,400,60.19033,-149.62117
Fairbanks_F.O.,1174,AK,SNTL,SNOTEL,450,64.85,-147.8
Fallen_Leaf,473,CA,SNTL,SNOTEL,6236,38.93405,-120.05457
Farmington,474,UT,SNTL,SNOTEL,8000,40.992,-111.81702
Farmington_Lower,1054,UT,SNTL,SNOTEL,6779,40.97483,-111.80933
Farnsworth_Lake,475,UT,SNTL,SNOTEL,9682,38.7725,-111.67662
Fawn_Creek,476,NV,SNTL,SNOTEL,7000,41.82098,-116.10153
Fish_Creek,477,OR,SNTL,SNOTEL,7660,42.70992,-118.6321
Fish_Lake,478,WA,SNTL,SNOTEL,3430,47.53565,-121.08553
Fish_Lake_Utah,1149,UT,SNTL,SNOTEL,8798,38.50455,-111.76693
Fish_Lk.,479,OR,SNTL,SNOTEL,4660,42.3801,-122.34943
Fisher_Creek,480,MT,SNTL,SNOTEL,9100,45.06235,-109.94488
Five_Points_Lake,481,UT,SNTL,SNOTEL,10940,40.71783,-110.46723
Flattop_Mtn.,482,MT,SNTL,SNOTEL,6300,48.80225,-113.85713
Fool_Creek,1186,CO,SNTL,SNOTEL,11150,39.8687,-105.8675
Forestdale_Creek,1049,CA,SNTL,SNOTEL,8017,38.68245,-119.9597
Fort_Valley_________,1121,AZ,SNTL,SNOTEL,7350,35.26806,-111.74486
Fort_Yukon,961,AK,SNTL,SNOTEL,430,66.5705,-145.24553
Fourmile_Lake,483,OR,SNTL,SNOTEL,5970,42.43933,-122.2288
Franklin_Basin,484,ID,SNTL,SNOTEL,8170,42.05058,-111.6012
Fremont_Pass,485,CO,SNTL,SNOTEL,11400,39.37991,-106.19681
Frisco_Divide,486,NM,SNTL,SNOTEL,8000,33.73646,-108.94502
Frohner_Meadow,487,MT,SNTL,SNOTEL,6480,46.43545,-112.19277
Fry,488,AZ,SNTL,SNOTEL,7200,35.07297,-111.84374
Fry_Canyon__________,1262,NV,SNTL,SNOTEL,6700,41.57872,-115.93182
Galena,489,ID,SNTL,SNOTEL,7470,43.87722,-114.6725
Galena_Summit,490,ID,SNTL,SNOTEL,8780,43.87497,-114.71363
Gallegos_Peak,491,NM,SNTL,SNOTEL,9800,36.19446,-105.55795
Garden_City_Summit,1114,UT,SNTL,SNOTEL,7705,41.9215,-111.4693
Gardner_Peak,1066,UT,SNTL,SNOTEL,8322,37.40083,-113.45988
Garfield_R.S.,492,ID,SNTL,SNOTEL,6560,43.6104,-113.9308
Garver_Creek,918,MT,SNTL,SNOTEL,4250,48.97523,-115.81915
GBRC_HQ,1221,UT,SNTL,SNOTEL,8541,39.32067,-111.4879
GBRC_Meadows,1222,UT,SNTL,SNOTEL,9780,39.3019,-111.45277
George_Creek,1151,UT,SNTL,SNOTEL,9005,41.91582,-113.41158
Gerber_Reservoir,945,OR,SNTL,SNOTEL,4890,42.2062,-121.1334
Giveout,493,ID,SNTL,SNOTEL,6930,42.4132,-111.1663
Glen_Cove,1057,CO,SNTL,SNOTEL,11460,38.87583,-105.07367
Gobblers_Knob,962,AK,SNTL,SNOTEL,2030,66.745,-150.6675
Golconda,1195,NV,SNTL,SNOTEL,6596,40.88358,-117.58812
Gold_Axe_Camp,1159,WA,SNTL,SNOTEL,5360,48.9516,-118.9864
Gold_Center,494,OR,SNTL,SNOTEL,5410,44.7638,-118.3117
Gold_Mountain_______,1256,WA,SNTL,SNOTEL,4390,48.18934,-118.4559
Gooseberry_RS,495,UT,SNTL,SNOTEL,7950,38.80033,-111.68325
Gooseberry_RS_Up,1184,UT,SNTL,SNOTEL,8400,38.78903,-111.6887
Graham_Guard_Sta.,496,ID,SNTL,SNOTEL,5690,43.9538,-115.27387
Grand_Targhee,1082,WY,SNTL,SNOTEL,9260,43.77933,-110.92783
Grandview,956,AK,SNTL,SNOTEL,1100,60.60832,-149.06313
Granite_Creek,497,WY,SNTL,SNOTEL,6770,43.34298,-110.43495
Granite_Crk,963,AK,SNTL,SNOTEL,1240,63.94382,-145.39993
Granite_Peak,498,NV,SNTL,SNOTEL,8543,41.67042,-117.56663
Grassy_Lake,499,WY,SNTL,SNOTEL,7265,44.12612,-110.83435
Grave_Creek,500,MT,SNTL,SNOTEL,4300,48.91453,-114.76663
Grave_Springs,501,WY,SNTL,SNOTEL,8550,43.46643,-107.23977
Grayback,1058,CO,SNTL,SNOTEL,11620,37.47033,-106.53783
Green_Lake,502,WA,SNTL,SNOTEL,5920,46.54741,-121.17093
Green_Mountain,503,NV,SNTL,SNOTEL,8000,40.38433,-115.52517
Greenpoint,504,OR,SNTL,SNOTEL,3310,45.62237,-121.70415
Grizzly_Peak,505,CO,SNTL,SNOTEL,11100,39.64631,-105.86973
Gros_Ventre_Summit,506,WY,SNTL,SNOTEL,8750,43.38877,-110.12947
Grouse_Camp,507,WA,SNTL,SNOTEL,5390,47.28107,-120.48771
Grouse_Creek_Divide,964,AK,SNTL,SNOTEL,700,60.25965,-149.34228
Gunsight_Pass,944,WY,SNTL,SNOTEL,9820,43.38332,-109.87815
Gutz_Peak,1065,UT,SNTL,SNOTEL,6763,37.49617,-113.94235
Hagan's_Meadow,508,CA,SNTL,SNOTEL,7776,38.85185,-119.93742
Hams_Fork,509,WY,SNTL,SNOTEL,7840,42.146,-110.67833
Hand_Creek,510,MT,SNTL,SNOTEL,5035,48.30754,-114.84075
Hannagan_Meadows,511,AZ,SNTL,SNOTEL,9020,33.65387,-109.30952
Hansen_Sawmill,512,WY,SNTL,SNOTEL,8360,44.25602,-106.97983
Happy_Jack,969,AZ,SNTL,SNOTEL,7630,34.74598,-111.41207
Hardscrabble,896,UT,SNTL,SNOTEL,7250,40.86833,-111.71865
Harris_Flat,514,UT,SNTL,SNOTEL,7800,37.49,-112.57533
Harts_Pass,515,WA,SNTL,SNOTEL,6490,48.72047,-120.6586
Hawkins_Lake,516,MT,SNTL,SNOTEL,6450,48.9723,-115.95337
Hayden_Fork,517,UT,SNTL,SNOTEL,9212,40.79667,-110.88488
Hayden_Pass,1102,CO,SNTL,SNOTEL,10720,38.29326,-105.8505
Heavenly_Valley,518,CA,SNTL,SNOTEL,8582,38.92433,-119.91647
Heber,519,AZ,SNTL,SNOTEL,7640,34.31202,-110.75431
Hemlock_Butte,520,ID,SNTL,SNOTEL,5810,46.48111,-115.63361
Hewinta,521,UT,SNTL,SNOTEL,9519,40.95,-110.48417
Hickerson_Park,522,UT,SNTL,SNOTEL,9145,40.9065,-109.9629
Hidden_Lake,988,ID,SNTL,SNOTEL,5040,48.8937,-116.75748
High_Lonesome_______,1187,CO,SNTL,SNOTEL,10620,40.03592,-105.75471
High_Ridge,523,OR,SNTL,SNOTEL,4920,45.69682,-118.10657
Hilts_Creek,524,ID,SNTL,SNOTEL,8000,44.01897,-113.4723
Hobble_Creek,1223,UT,SNTL,SNOTEL,7399,40.18505,-111.3594
Hobbs_Park,525,WY,SNTL,SNOTEL,10100,42.86984,-109.09455
Hogg_Pass,526,OR,SNTL,SNOTEL,4790,44.42042,-121.85655
Hole-in-Mountain,527,NV,SNTL,SNOTEL,7900,40.9427,-115.09572
Hole-in-Rock,528,UT,SNTL,SNOTEL,9150,40.92167,-110.18622
Holland_Meadows,529,OR,SNTL,SNOTEL,4930,43.66917,-122.56877
Hoodoo_Basin,530,MT,SNTL,SNOTEL,6050,46.9751,-115.0349
Hoosier_Pass,531,CO,SNTL,SNOTEL,11400,39.36127,-106.05978
Hopewell,532,NM,SNTL,SNOTEL,10000,36.71631,-106.26348
Horse_Meadow,1050,CA,SNTL,SNOTEL,8557,38.83652,-119.88732
Horse_Ridge,533,UT,SNTL,SNOTEL,8160,41.31367,-111.44583
Hourglass_Lake,1122,CO,SNTL,SNOTEL,9380,40.57913,-105.63068
Howard_Prairie,1158,OR,SNTL,SNOTEL,4580,42.215,-122.3713
Howell_Canyon,534,ID,SNTL,SNOTEL,7980,42.32111,-113.61556
Hozomeen_Camp,991,WA,SNTL,SNOTEL,1690,48.98075,-121.07976
Huckleberry_Creek,928,WA,SNTL,SNOTEL,2250,47.06565,-121.58778
Humboldt_Gulch,535,ID,SNTL,SNOTEL,4250,47.53178,-115.77643
Huntington_Horse,1216,UT,SNTL,SNOTEL,9657,39.61153,-111.30493
Hyndman,537,ID,SNTL,SNOTEL,7440,43.71058,-114.15893
Idarado,538,CO,SNTL,SNOTEL,9800,37.9339,-107.67552
Imnaviat_Creek,968,AK,SNTL,SNOTEL,3050,68.61683,-149.30017
